variavel,socratico,expositivo
N,14,22
Idade - mediana (min-max),"35,5 (20-55)","32,5 (22-50)"
Escolaridade: ensino medio - n (%),"7 (50,0%)","9 (40,9%)"
Escolaridade: superior incompleto - n (%),"3 (21,4%)","4 (18,2%)"
Escolaridade: superior completo - n (%),"4 (28,6%)","9 (40,9%)"
Familiaridade previa: nao conhecia - n (%),"8 (57,1%)","10 (45,5%)"
Familiaridade previa: ja ouviu falar - n (%),"3 (21,4%)","7 (31,8%)"
Familiaridade previa: conhece problema e solucao - n (%),"3 (21,4%)","5 (22,7%)"
Conhecimento autoavaliado em probabilidade (1-5) - mediana,3,3
